title,typeOfResource,genre,placeTerm,publisher,dateIssued,languageTerm,form(marccategory),form(marcsmd),extent
"          Metro St. Louis including St. Charles, Wentzville & Eureka, Missouri CitiMap                  Metro St. Louis       ",                   cartographic                ,map,"Heathrow, FL",AAA,c2000 2000,          eng       ,map,map,"1 map : both sides, col. ; 120 x 153 cm., sheet 92 x 122 cm., folded to 23 x 11 cm."
"          St. Louis at the millennium, a thousand years of change          satellite imagery, bird's-eye views, historical topography : 2000 ... 1000       ",                   cartographic                ,remote-sensing image map,"Minneapolis, Minn.] Santa Barbara, CA",White Star Press Map Link Inc. [distributor],1999,          eng       ,map map,map remote-sensing image view,"1 remote-sensing image, 2 views, and 1 map on 1 sheet : both sides, col. ; 28 x 30 cm. or smaller, sheet 46 x 61 cm., folded to 23 x 11 cm."
"          Welcome to West Virginia, War, Welch, and McDowell County                  War, Welch, and McDowell County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"3 maps on 1 sheet ; 40 x 61 cm. or smaller, sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Ki?na, Mongo?lia 1:6 000 000          ne?vmutato? = China, Mongolia = China, Mongolei = Chine, Mongolie                  China, Mongolia                  China, Mongolei                  Chine, Mongolie       ",                   cartographic                ,map,Budapest,Cartographia,1998,          hun                  eng                  fre                  ger       ,map,map,"1 map : col. ; 67 x 86 cm., folded to 22 x 13 cm."
"          Fort Scott National Historic Site, Kansas                  Fort Scott       ",                   cartographic                ,map government publication,"Washington, D.C.]",The Service,[2000] 2000,          eng       ,map,map,"1 map : col. ; 17 x 42 cm., folded to 10 x 21 cm."
"          Welcome to West Virginia, Buckhannon and Upshur County                  Buckhannon and Upshur County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"2 maps on 1 sheet ; 25 x 27 cm. and 49 x 32 cm., sheet 49 x 32 cm., folded to 25 x 11 cm."
"          Welcome to West Virginia, Martinsburg and Berkeley County with Charles Town and Jefferson County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 39 x 35 cm. or smaller, sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to West Virginia, Morgantown       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1996 1996,          eng       ,map,map,"1 map ; 50 x 60 cm., on sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to West Virginia, Kingwood, Terra Alta, and Preston County                  Kingwood, Terra Alta, and Preston County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates,c1998 1998,          eng       ,map,map,"3 maps on 1 sheet ; 42 x 27 cm. or smaller, sheet 64 x 97 cm., folded to 25 x 11 cm."
"          Welcome to West Virginia, Beckley and Raleigh County                  Beckley and Raleigh County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates,c1996 1996,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 45 x 43 cm. and 42 x 49 cm., sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to West Virginia, Williamson, South Williamson,  and Mingo County                  Williamson, South Williamson,  and Mingo County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"2 maps on 1 sheet ; 31 x 43 cm. and 43 x 47 cm, sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to West Virginia, Bluefield, Princeton, and Mercer County                  Bluefield, Princeton, and Mercer County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates,c1998 1998,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 61 x 68 cm. or smaller, sheet 64 x 97 cm., folded to 25 x 11 cm."
"          Welcome to Missouri, Washington and Franklin County with Union and St. Clair                  Washington and Franklin County with Union and St. Clair       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 42 x 54 cm. or smaller, sheet 97 x 64 cm., folded to 11 x 25 cm."
"          Welcome to Kansas, Manhattan and Junction City with Riley County                  Manhattan and Junction City with Riley County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 52 x 55 cm. or smaller, sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to Kansas, Olathe       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"1 map ; 43 x 53 cm., on sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to West Virginia, Fairmont       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"1 map ; 42 x 45 cm., on sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to West Virginia, Logan, Logan County, Chapmanville, and Man                  Logan, Logan County, Chapmanville, and Man       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates,c1999 1999,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 61 x 68 cm. or smaller, sheet 64 x 97 cm., folded to 25 x 11 cm."
          Desk reference atlas                  Oxford desk reference atlas       ,                   cartographic                ,atlas,New York,Oxford University Press,c1999 2000,          eng       ,map,atlas,"1 atlas (xvi, 160 p.) : col. ill., col. maps ; 24 cm."
"          Welcome to West Virginia, Williamson, South Williamson, and Mingo County                  Williamson, South Williamson, and Mingo County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"2 maps on 1 sheet ; 31 x 43 cm. and 38 x 43 cm, sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Colton's new sectional map of the State of Missouri          compiled from the United States surveys & other authentic sources ; exhibiting the sections, fractional sections, counties, cities, towns, villages, post ofiices, rail roads  & other internal improvements                  Colton's sectional map of Missouri       ",                   cartographic                ,map,New York,G.W. & C.B. Colton & Co.,1866,          eng       ,map,map,"1 map : hand col. ; 80 x 92 cm., folded in cover 16 x 11 cm."
"          Scott County, KS          series RXNAP       ",                   cartographic                ,map,"South Sioux City, NE",Western Cartographers,[1999?] 1999,          eng       ,map,map,1 map ; 77 x 61 cm.
"          Wallace County, Kansas          series RUELNU       ",                   cartographic                ,map,"South Sioux City, NE",Western Cartographers,[1999?] 1999,          eng       ,map,map,1 map ; 77 x 77 cm.
"          Wichita County, Kansas          series NCRBAP       ",                   cartographic                ,map,"South Sioux City, NE",Western Cartographers,[1999?] 1999,          eng       ,map,map,1 map ; 77 x 61 cm.
"          Greeley County, Kansas          series NLEBAP       ",                   cartographic                ,map,"South Sioux City, NE",Western Cartographers,[1999?] 1999,          eng       ,map,map,1 map ; 77 x 61 cm.
"          Logan County, Kansas          series NRNAXP       ",                   cartographic                ,map,"South Sioux City, NE",Western Cartographers,[1999?] 1999,          eng       ,map,map,1 map ; 79 x 94 cm.
"          Welcome to Missouri, Washington and Franklin County with Union and St. Clair       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 54 x 43 cm. or smaller, sheet 64 x 96 cm., folded to 11 x 25 cm."
          Huntington metro area map       ,                   cartographic                ,map,"Grand Rapids, Mich",Metro Graphic Arts,[1997] 1997,          eng       ,map,map,"1 map : col. ; 97 x 258 cm., on sheet 132 x 163 cm."
"          Mapset for the siege and capture of Harpers Ferry, W. Va., Sept. 12-15, 1862                  Siege and capture of Harpers Ferry, W. Va., Sept. 12-15, 1862       ",                   cartographic                ,map,"Bridgewater, Va.]",Collier Mapping,1998,          eng       ,map,map,"4 maps : col. ; 21 x 22 cm., on sheet 28 x 22 cm."
"          St. Louis, Missouri in 1874                  City of St. Louis       ",                   cartographic                ,map,"Ithaca, N.Y",Historic Urban Plans,1976,          eng       ,map,view,1 view : col. ; 44 x 70 cm.
          United States history atlas                  Magellan Geographix United States history atlas       ,                   cartographic                ,atlas,"Santa Barbara, CA",Maps.com/Magellan Geographix,c2000 2000,          eng       ,map,atlas,1 atlas (56 p.) : col. maps ; 26 cm.
"          Beijing          Beijing city map                  Citypack Beijing, the ultimate key to the city          a complete pocket guide plus a full-size color map                  Citypack Beijing map & guide       ",                   cartographic                ,map Tourist maps.,New York,Fodor's,c1999 1999,          eng                  mul       ,map,map,"1 map : col. ; 64 x 86 cm., folded to 19 x 10 cm."
"          Hong Kong          Hong Kong city map                  Citypack Hong Kong, the ultimate key to the city          a complete pocket guide plus a full-size color map                  Citypack Hong Kong map & guide       ",                   cartographic                ,map,New York,Fodor's,c1999 1999,          eng                  mul       ,map,map,"1 map : col. ; 64 x 86 cm., folded to 19 x 10 cm."
"          Shanghai          Shanghai city map                  Citypack Shanghai, the ultimate key to the city          a complete pocket guide plus a full-size color map                  Citypack Shanghai map & guide       ",                   cartographic                ,map,New York,Fodor's,c1999 1999,          eng                  mul       ,map,map,"1 map : col. ; 64 x 86 cm., folded to 20 x 10 cm."
"          Tokyo          Tokyo city map                  Citypack Tokyo, the ultimate key to the city          a complete pocket guide plus a full-size color map                  Citypack Tokyo map & guide       ",                   cartographic                ,map,New York,Fodor's,c1999 1999,          eng                  mul       ,map,map,"1 map : col. ; 64 x 86 cm., folded to 20 x 10 cm."
"          Tokyo          Tokyo city map                  Citypack Tokyo, the ultimate key to the city          a complete pocket guide plus a full-size color map                  Citypack Tokyo map & guide       ",                   cartographic                ,map,New York,Fodor's,c1997 1997,          eng                  mul       ,map,map,"1 map : col. ; 64 x 86 cm., folded to 19 x 10 cm."
          The           state of the world atlas       ,                   cartographic                ,atlas,London New York,Penguin Books,1999,          eng       ,map,atlas,"1 atlas (144 p.) : col. maps, table ; 26 cm."
"          Morgantown                  Welcome to West Virginia, Morgantown       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"1 map ; 50 x 60 cm., on sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to West Virginia, Clarksburg, Bridgeport, and Harrison County                  Clarksburg, Bridgeport, and Harrison County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates,c1997 1997,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 35 x 50 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to Kansas, Olathe       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1997 1997,          eng       ,map,map,"1 map ; 43 x 53 cm., on sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to Kansas, Manhattan and Junction City with Riley County                  Manhattan and Junction City with Riley County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 52 x 55 cm. or smaller, sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to West Virginia, Martinsburg and Berkeley County with Charles Town and Jefferson County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1996 1996,          eng       ,map,map,"4 maps on 2 sheets : photocopies ; 47 x 48 cm. or smaller, sheets 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to West Virginia, Philippi, Belington, and Barbour County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"3 maps on 1 sheet ; 36 x 32 cm. or smaller, sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Welcome to Reno County, Hutchinson and South Hutchinson, Kansas       ",                   cartographic                ,map,"Forest Park, Ohio","Merchant Maps, Division of Mass Marketing Inc.",c1978 1978,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 55 x 52 cm. and 46 x 67 cm., sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Iron, Madison and Washington counties with Fredericktown, Ironton and Potosi, Missouri          happy to help you find your way around!                  Iron, Madison and Washington counties with Fredericktown, Ironton and Potosi, Missouri       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"5 maps on 1 sheet : both sides ; 47 x 40 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Butler County and Poplar Bluff, Missouri          happy to help you find your way around!                  Butler County and Poplar Bluff, Missouri       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 61 x 56 cm and 56 x 53 cm., sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Butler County and Poplar Bluff, Missouri          happy to help you find your way around!                  Butler County and Poplar Bluff, Missouri       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1982 1982,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 65 cm and 67 x 57 cm., sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Butler County and Poplar Bluff, Missouri          happy to help you find your way around!                  Butler County and Poplar Bluff, Missouri       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 56 cm and 64 x 56 cm., sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Butler County and Poplar Bluff including Three Rivers Community College campus, Missouri          happy to help you find your way around!                  Butler County and Poplar Bluff including Three Rivers Community College Campus, Missouri       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1986 1986,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 57 x 55 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Butler County and Poplar Bluff, Missouri          happy to help you find your way around!                  Butler County and Poplar Bluff, Missouri       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 56 cm and 60 x 47 cm., sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Butler County and Poplar Bluff including Three Rivers Community College campus, Missouri          happy to help you find your way around!                  Butler County and Poplar Bluff including Three Rivers Community College Campus, Missouri       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1987 1987,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 57 x 55 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Butler County & Poplar Bluff including Three Rivers Community College campus, Missouri          happy to help you find your way around!                  Butler County and Poplar Bluff including Three Rivers Community College Campus, Missouri       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 57 x 55 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Butler County & Poplar Bluff including Three Rivers Community College campus, Missouri          happy to help you find your way around!                  Butler County and Poplar Bluff including Three Rivers Community College Campus, Missouri       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 63 x 47 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
          [City and town plan maps of Kansas]       ,                   cartographic                ,map government publication,Topeka],The Bureau,1972- 1972 uuuu,          eng       ,map,map,<   > maps : some photocopies ; 70 x 92 cm. or smaller.
"          West Virginia, 1999-2000 official state highway map                  West Virginia, wild and wonderful       ",                   cartographic                ,map government publication,Charleston,The Division,c1999 1999,          eng       ,map,map,"1 map : col. ; 62 x 72 cm., folded to 22 x 11 cm."
"          Historic frontier trails map of Johnson, Wyandotte, and part of Leavenworth counties, Kansas, U.S.A                  Historic frontier trails map, Johnson, Wyandotte, and Leavenworth counties, Kansas       ",                   cartographic                ,map,Kansas City],Kansas City Area Historic Trails Association,c1997 1997,          eng       ,map,map,"1 map : both sides, col. ; 165 x 87 cm, on sheet 89 x 92 cm., folded to 23 x 12 cm."
          West Virginia trails map       ,                   cartographic                ,map government publication,Charleston,The Division,[2000] 2000,          eng       ,map,map,"1 map : col. ; 22 x 25 cm., on sheet 65 x 38 cm., folded to 22 x 10 cm."
          [Fort Riley]       ,                   cartographic                ,map,"Escondido, CA",Hart Publishers,c1997 1997,          eng       ,map,map,"1 map ; 25 x 29 cm., on sheet 28 x 40 cm., folded to 28 x 20 cm."
"          Fort Leonard Wood, Missouri, 1998 post map                  Fort Leonard Wood, U.S. Army engineer center       ",                   cartographic                ,map,San Diego],Hart Publishers,c1998 1998,          eng       ,map,map,"1 map ; 30 x 24 cm., on sheet 56 x 43 cm., folded to 22 x 10 cm."
"          Maps of Wood County, Vienna & Parkersburg, West Virginia, with Belpre, Ohio       ",                   cartographic                ,map,"Springdale, Ohio","Mass Marketing Inc., Merchant Maps Division",c1979 1979,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 79 x 56 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Maps of Wood County, Vienna & Parkersburg, West Virginia, with Belpre, Ohio          happy to help you find your way around!       ",                   cartographic                ,map,"Springdale, Ohio","Mass Marketing Inc., Merchant Maps Division",c1980 1980,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 81 x 56 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Tributary flooding, Kansas       ",                   cartographic                ,map government publication,"Fort Worth, TX Salina, Kan","USDA-NRCS-National Cartography & Geospatial Center State Conservationist, distributor]",1996,          eng       ,map,map,1 map : col. ; 11 x 21 cm.
          Fort Riley          home of the 1st infantry division       ,                   cartographic                ,map,"San diego, CA","Hart Enterprises, Inc.",c1995 1995,          eng       ,map,map,"1 map : col. ; 32 x 36 cm., on sheet 43 x 56 cm., folded to 10 x 22 cm."
"          Major land resource areas, Kansas       ",                   cartographic                ,map government publication,"Fort Worth, Tex Salina, Kan","USDA-SCS-National Cartography & GIS Center State Conservationist, distributor]",1993,          eng       ,map,map,1 map : col. ; 12 x 23 cm.
          Land resource regions and major land resource areas of Missouri       ,                   cartographic                ,map government publication,"Fort Worth, TX Lincoln, Neb","USDA-SCS-National Cartography & GIS Center State Conservationist, distributor]",1982,          eng       ,map,map,1 map : col. ; 16 x 18 cm.
"          Watershed projects, Kansas, January 1998       ",                   cartographic                ,map government publication,"Fort Worth, TX Salina, Kan","USDA-NRCS-National Cartography & Geospatial Center State Conservationist, distributor]",1998,          eng       ,map,map,"1 map : col. ; 14 x 26 cm., on sheet 20 x 41 cm."
"          General soil map, Berkeley County, West Virginia       ",                   cartographic                ,map government publication,"Fort Worth, Tex.] Morgantown, W. Va","The Service State Conservationist, distributor",1999] 1999,          eng       ,map,map,"1 map : col. ; 40 x 35 cm., on sheet 74 x 61 cm."
          Korea demilitarized zone       ,                   cartographic                ,map government publication,"Washington, D.C",Central Intelligence Agency,1969] 1969,          eng       ,electronic resource map,remote map,1 map : col. ; on sheet 27 x 97 cm.
"          Status of soil surveys, Missouri          March 1997       ",                   cartographic                ,map government publication,"Fort Worth, TX Lincoln, Neb","USDA-NRCS-National Cartography & Geospatial Center State Conservationist, distributor]",1997,          eng       ,map,map,1 map : col. ; 19 x 26 cm.
"          Welcome to West Virginia, Summersville, Richwood, and Nicholas County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1997 1997,          eng       ,map,map,"3 maps on 1 sheet ; 45 x 61 cm. or smaller, on sheet 97 x 64 cm., folded to 11 x 25 cm."
"          Morgantown                  Welcome to West Virginia, Morgantown       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"1 map ; 50 x 61 cm., on sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Status of soil surveys, Missouri          July 1995       ",                   cartographic                ,map government publication,"Fort Worth, TX Lincoln, Neb","USDA-NRCS-National Cartography & GIS Center State Conservationist, distributor]",1995,          eng       ,map,map,1 map : col. ; 19 x 26 cm.
"          Welcome to the Lake of the Ozarks, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"1 map ; 56 x 86 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Crestwood, Grantwood Village, Lakeshire, Affton, St. George, Sappington & Marlborough areas, Missouri       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1982 1982,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 39 x 87 cm. and 47 x 87 cm., sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Stone, Taney & Christian Counties with Ozark & Branson, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1982 1982,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 64 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Lee's Summit, Blue Springs, Grain Valley, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 86 x 56 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Outline map with county seats, state of West Virginia       ",                   cartographic                ,map government publication,Charleston],The Division,[2000?] 2000,          eng       ,map,map,1 map ; 103 x 118 cm.
"          Welcome to West Virginia, Fairmont       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c1997 1997,          eng       ,map,map,"1 map ; 42 x 45 cm., on sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Map of Jackson County and Independence, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 56 cm. and 62 x 56 cm., sheet 89 x 58 cm., folded to 23 x 10 cm."
"          Maps of Audrain and Randolph counties with Mexico and Moberly, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 56 x 43 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maps of Joplin, Neosho, Carthage, Carl Junction and Webb City, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 56 x 87 cm. or smaller, sheet 89 x 58 cm., folded to 11 x 23 cm."
"          Maps of Linn and Livingston counties with Brookfield, Marceline & Chillicothe, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"5 maps on 1 sheet : both sides ; 50 x 41 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          Maps of Benton and Henry counties with Warsaw and Clinton, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 50 x 37 cm. or smaller, sheet 58 x 89 cm., folded to 23 x 11 cm."
"          Maps of Boone County and Columbia, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 83 x 57 cm. and 57 x 65 cm., sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maps of Atchison, Holt, and Nodaway counties with Maryville, Mound City and Tarkio, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 56 x 78 cm. or smaller, sheet 58 x 89 cm., folded to 23 x 11 cm."
"          Maps of Cape Girardeau County, Cape Girardeau and Jackson, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 63 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Carl Junction, Carthage, Neosho, Joplin and Webb City, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 56 x 87 cm. or smaller, sheet 89 x 58 cm., folded to 11 x 23 cm."
"          Maps of Howell County with cities Willow Springs, Mountain View, and West Plains, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 45 x 56 cm. or smaller, sheet 58 x 89 cm., folded to 23 x 11 cm."
"          Maps of Montgomery & Callaway counties with Montgomery City, Fulton & Wellsville, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"5 maps on 1 sheet : both sides ; 56 x 46 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Iron, Madison and Washington counties with Fredericktown, Ironton and Potosi, Missouri          happy to help you find your way around!                  Iron, Madison and Washington counties with Fredericktown, Ironton and Potosi, Missouri       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"5 maps on 1 sheet : both sides ; 47 x 40 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Perry & Ste. Genevieve Counties with Perryville & Ste. Genevieve, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 49 x 50 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Jasper and Newton counties, with Joplin, Carthage, and Neosho, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"5 maps on 1 sheet : both sides ; 56 x 41 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Map of Jackson County and Independence, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1990 1990,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 56 cm. and 66 x 56 cm., sheet 89 x 58 cm., folded to 23 x 10 cm."
"          Map of Adair & Macon counties, Kirksville & Macon, Missouri with the Northeast Missouri State University campus guide          happy to help you find your way around!                  Map of Adair and Macon counties, Kirksville and Macon, Missouri with the Northeast Missouri State University       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1990 1990,          eng       ,map,view,"5 maps on 1 sheet : both sides ; 47 x 40 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
